,file_name,fabric
0,478130_4419430_1_1,21
1,478130_4419430_1_2,20
2,478130_4419430_1_3,21
3,478130_4419430_1_4,83
4,478130_4419430_1_5,16
5,478130_4419430_1_6,24
6,478130_4419430_1_7,24
7,478130_4419430_1_8,24
8,478130_4419430_1_9,37
9,478130_4419430_1_10,75
10,478130_4419430_1_11,73
11,478130_4419430_1_12,21
12,478130_4419430_1_13,21
13,478130_4419430_1_14,61
14,478130_4419430_1_15,41
15,478130_4419430_1_16,27
16,478130_4419430_1_17,21
17,478130_4419430_1_18,41
18,478130_4419430_1_19,27
19,478130_4419430_1_20,75
20,478130_4419430_1_21,41
21,478130_4419430_1_22,20
22,478130_4419430_1_23,80
23,478130_4419430_1_24,21
24,478130_4419430_1_25,27
25,478130_4419430_1_26,75
26,478130_4419430_1_27,75
27,478130_4419430_1_28,21
28,478130_4419430_1_29,75
29,478130_4419430_1_30,41
30,478130_4419430_1_31,25
31,478130_4419430_1_32,20
32,478130_4419430_1_33,75
33,478130_4419430_1_34,78
34,478130_4419430_1_35,41
35,478130_4419430_1_36,41
36,478130_4419430_1_37,8
37,478130_4419430_1_38,20
38,478130_4419430_1_39,13
39,478130_4419430_1_40,20
40,478130_4419430_1_41,20
41,478130_4419430_1_42,40
42,478130_4419430_1_43,21
43,478130_4419430_1_44,40
44,478130_4419430_1_45,44
45,478130_4419430_1_46,75
46,478130_4419430_1_47,75
47,478130_4419430_1_48,21
48,478130_4419430_1_49,20
49,478130_4419430_1_50,79
50,478130_4419430_1_51,80
51,478130_4419430_1_52,80
52,478130_4419430_1_53,62
53,478130_4419430_1_54,81
54,478130_4419430_1_55,8
55,478130_4419430_1_56,79
56,478130_4419430_1_57,65
57,478130_4419430_1_58,79
58,478130_4419430_1_59,24
59,478130_4419430_1_60,37
60,478130_4419430_1_61,89
61,478130_4419430_1_62,72
62,478130_4419430_1_63,41
63,478130_4419430_1_64,13
64,478130_4419430_1_65,38
65,478130_4419430_1_66,20
66,478130_4419430_1_67,20
67,478130_4419430_1_68,21
68,478130_4419430_1_69,75
69,478130_4419430_1_70,62
70,478130_4419430_1_71,20
71,478130_4419430_1_72,80
72,478130_4419430_1_73,13
73,478130_4419430_1_74,37
74,478130_4419430_1_75,63
75,478130_4419430_1_76,16
76,478130_4419430_1_77,45
77,478130_4419430_1_78,80
78,478130_4419430_1_79,41
79,478130_4419430_1_80,24
80,478130_4419430_1_81,40
81,478130_4419430_1_82,80
82,478130_4419430_1_83,61
83,478130_4419430_1_84,80
84,478130_4419430_1_85,16
85,478130_4419430_1_86,20
86,478130_4419430_1_87,9
87,478130_4419430_1_88,17
88,478130_4419430_1_89,82
89,478130_4419430_1_90,61
90,478130_4419430_1_91,41
91,478130_4419430_1_92,57
92,478130_4419430_1_93,75
93,478130_4419430_1_94,62
94,478130_4419430_1_95,11
95,478130_4419430_1_96,24
96,478130_4419430_1_97,15
97,478130_4419430_1_98,24
98,478130_4419430_1_99,61
99,478130_4419430_1_100,72
100,478130_4419430_2_1,24
101,478130_4419430_2_2,2
102,478130_4419430_2_3,24
103,478130_4419430_2_4,11
104,478130_4419430_2_5,21
105,478130_4419430_2_6,20
106,478130_4419430_2_7,63
107,478130_4419430_2_8,40
108,478130_4419430_2_9,25
109,478130_4419430_2_10,54
110,478130_4419430_2_11,20
111,478130_4419430_2_12,61
112,478130_4419430_2_13,15
113,478130_4419430_2_14,8
114,478130_4419430_2_15,2
115,478130_4419430_2_16,20
116,478130_4419430_2_17,21
117,478130_4419430_2_18,15
118,478130_4419430_2_19,79
119,478130_4419430_2_20,3
120,478130_4419430_2_21,61
121,478130_4419430_2_22,13
122,478130_4419430_2_23,80
123,478130_4419430_2_24,79
124,478130_4419430_2_25,84
125,478130_4419430_2_26,61
126,478130_4419430_2_27,20
127,478130_4419430_2_28,61
128,478130_4419430_2_29,10
129,478130_4419430_2_30,20
130,478130_4419430_2_31,24
131,478130_4419430_2_32,40
132,478130_4419430_2_33,62
133,478130_4419430_2_34,15
134,478130_4419430_2_35,15
135,478130_4419430_2_36,26
136,478130_4419430_2_37,18
137,478130_4419430_2_38,15
138,478130_4419430_2_39,61
139,478130_4419430_2_40,15
140,478130_4419430_2_41,51
141,478130_4419430_2_42,24
142,478130_4419430_2_43,40
143,478130_4419430_2_44,15
144,478130_4419430_2_45,82
145,478130_4419430_2_46,17
146,478130_4419430_2_47,12
147,478130_4419430_2_48,11
148,478130_4419430_2_49,11
149,478130_4419430_2_50,11
150,478130_4419430_2_51,25
151,478130_4419430_2_52,8
152,478130_4419430_2_53,78
153,478130_4419430_2_54,8
154,478130_4419430_2_55,41
155,478130_4419430_2_56,40
156,478130_4419430_2_57,21
157,478130_4419430_2_58,16
158,478130_4419430_2_59,62
159,478130_4419430_2_60,12
160,478130_4419430_2_61,82
161,478130_4419430_2_62,18
162,478130_4419430_2_63,21
163,478130_4419430_2_64,21
164,478130_4419430_2_65,62
165,478130_4419430_2_66,78
166,478130_4419430_2_67,61
167,478130_4419430_2_68,75
168,478130_4419430_2_69,40
169,478130_4419430_2_70,40
170,478130_4419430_2_71,62
171,478130_4419430_2_72,40
172,478130_4419430_2_73,59
173,478130_4419430_2_74,24
174,478130_4419430_2_75,4
175,478130_4419430_2_76,62
176,478130_4419430_2_77,65
177,478130_4419430_2_78,82
178,478130_4419430_2_79,28
179,478130_4419430_2_80,14
180,478130_4419430_2_81,75
181,478130_4419430_2_82,68
182,478130_4419430_2_83,24
183,478130_4419430_2_84,37
184,478130_4419430_2_85,89
185,478130_4419430_2_86,2
186,478130_4419430_2_87,20
187,478130_4419430_2_88,15
188,478130_4419430_2_89,61
189,478130_4419430_2_90,15
190,478130_4419430_2_91,14
191,478130_4419430_2_92,62
192,478130_4419430_2_93,20
193,478130_4419430_2_94,67
194,478130_4419430_2_95,14
195,478130_4419430_2_96,89
196,478130_4419430_2_97,13
197,478130_4419430_2_98,15
198,478130_4419430_2_99,44
199,478130_4419430_2_100,27
200,478130_4419430_2_101,38
201,478130_4419430_2_102,40
202,478130_4419430_2_103,38
203,478130_4419430_2_104,27
204,478130_4419430_2_105,80
205,478130_4419430_2_106,24
206,478130_4419430_2_107,24
207,478130_4419430_2_108,65
208,478130_4419430_2_109,30
209,478130_4419430_2_110,20
210,478130_4419430_2_111,65
211,478130_4419430_2_112,20
212,478130_4419430_2_113,15
213,478130_4419430_2_114,11
214,478130_4419430_2_115,61
215,478130_4419430_2_116,61
216,478130_4419430_2_117,17
217,478130_4419430_2_118,20
218,478130_4419430_2_119,20
219,478130_4419430_2_120,44
220,478130_4419430_2_121,41
221,478130_4419430_2_122,51
222,478130_4419430_2_123,68
223,478130_4419430_2_124,14
224,478130_4419430_2_125,2
225,478130_4419430_2_126,73
226,478130_4419430_2_127,80
227,478130_4419430_2_128,61
228,478130_4419430_2_129,3
229,478130_4419430_2_130,11
230,478130_4419430_2_131,3
231,478130_4419430_2_132,13
232,478130_4419430_2_133,40
233,478130_4419430_2_134,14
234,478130_4419430_2_135,62
235,478130_4419430_2_136,41
236,478130_4419430_2_137,28
237,478130_4419430_2_138,21
238,478130_4419430_2_139,21
239,478130_4419430_2_140,40
240,478130_4419430_2_141,40
241,478130_4419430_2_142,40
242,478130_4419430_2_143,11
243,478130_4419430_2_144,21
244,478130_4419430_2_145,3
245,478130_4419430_2_146,2
246,478130_4419430_2_147,44
247,478130_4419430_2_148,3
248,478130_4419430_2_149,40
249,478130_4419430_2_150,20
250,478130_4419430_2_151,24
251,478130_4419430_2_152,20
252,478130_4419430_2_153,68
253,478130_4419430_2_154,52
254,478130_4419430_2_155,20
255,478130_4419430_2_156,13
256,478130_4419430_2_157,21
257,478130_4419430_2_158,58
258,478130_4419430_2_159,8
259,478130_4419430_2_160,17
260,478130_4419430_2_161,20
261,478130_4419430_2_162,82
262,478130_4419430_2_163,20
263,478130_4419430_2_164,30
264,478130_4419430_3_1,78
265,478130_4419430_3_4,46
266,478130_4419430_3_5,55
267,478130_4419430_3_6,13
268,478130_4419430_3_7,90
269,478130_4419430_3_8,75
270,478130_4419430_3_9,11
271,478130_4419430_3_10,72
272,478130_4419430_3_11,56
273,478130_4419430_3_12,47
274,478130_4419430_3_13,38
275,478130_4419430_3_14,37
276,478130_4419430_3_15,24
277,478130_4419430_3_17,31
278,478130_4419430_3_18,18
279,478130_4419430_3_19,75
280,478130_4419430_3_20,16
281,478130_4419430_3_21,24
282,478130_4419430_3_22,41
283,478130_4419430_3_23,79
284,478130_4419430_3_24,18
285,478130_4419430_3_25,9
286,478130_4419430_3_26,11
287,478130_4419430_3_27,8
288,478130_4419430_3_28,11
289,478130_4419430_3_29,59
290,478130_4419430_3_30,2
291,478130_4419430_3_31,14
292,478130_4419430_3_32,41
293,478130_4419430_3_33,24
294,478130_4419430_3_34,15
295,478130_4419430_3_35,11
296,478130_4419430_3_36,16
297,478130_4419430_3_37,21
298,478130_4419430_3_38,57
299,478130_4419430_3_39,8
300,478130_4419430_3_40,21
301,478130_4419430_3_41,11
302,478130_4419430_3_42,41
303,478130_4419430_3_43,4
304,478130_4419430_3_44,75
305,478130_4419430_3_45,9
306,478130_4419430_3_46,8
307,478130_4419430_3_47,79
308,478130_4419430_3_48,3
309,478130_4419430_3_49,15
310,478130_4419430_3_50,8
311,478130_4419430_3_51,13
312,478130_4419430_3_52,19
313,478130_4419430_3_53,21
314,478130_4419430_3_54,25
315,478130_4419430_3_55,13
316,478130_4419430_3_56,48
317,478130_4419430_3_57,13
318,478130_4419430_3_58,80
319,478130_4419430_3_59,65
320,478130_4419430_3_60,17
321,478130_4419430_3_61,65
322,478130_4419430_3_62,44
323,478130_4419430_3_63,18
324,478130_4419430_3_64,89
325,478130_4419430_3_65,44
326,478130_4419430_3_66,61
327,478130_4419430_3_67,86
328,478130_4419430_3_68,61
329,478130_4419430_3_69,68
330,478130_4419430_3_70,56
331,478130_4419430_3_71,61
332,478130_4419430_3_72,80
333,478130_4419430_3_73,79
334,478130_4419430_3_74,89
335,478130_4419430_3_75,89
336,478130_4419430_3_76,84
337,478130_4419430_3_77,89
338,478130_4419430_3_78,78
339,478130_4419430_3_79,68
340,478130_4419430_3_80,89
341,478130_4419430_3_81,61
342,478130_4419430_3_82,61
343,478130_4419430_3_83,80
344,478130_4419430_3_84,89
345,478130_4419430_3_85,14
346,478130_4419430_3_86,78
347,478130_4419430_3_87,86
348,478130_4419430_3_88,78
349,478130_4419430_3_89,13
350,478130_4419430_3_90,91
351,478130_4419430_3_91,89
352,478130_4419430_3_92,72
353,478130_4419430_3_93,82
354,478130_4419430_3_94,89
355,478130_4419430_3_95,89
356,478130_4419430_3_96,80
357,478130_4419430_3_97,80
358,478130_4419430_3_98,89
359,478130_4419430_3_99,89
360,478130_4419430_3_100,85
361,478130_4419430_3_101,21
362,478130_4419430_3_102,21
363,478130_4419430_3_103,50
364,478130_4419430_3_104,62
365,478130_4419430_3_105,85
366,478130_4419430_3_106,82
367,478130_4419430_3_107,63
368,478130_4419430_3_108,89
369,478130_4419430_3_109,20
370,478130_4419430_3_110,62
371,478130_4419430_3_111,65
372,478130_4419430_3_112,85
373,478130_4419430_3_113,82
374,478130_4419430_3_114,75
375,478130_4419430_3_115,68
376,478130_4419430_3_116,82
377,478130_4419430_3_117,68
378,478130_4419430_3_118,16
379,478130_4419430_3_119,63
380,478130_4419430_3_120,44
381,478130_4419430_3_121,25
382,478130_4419430_3_122,40
383,478130_4419430_3_123,15
384,478130_4419430_3_124,57
385,478130_4419430_3_125,38
386,478130_4419430_3_126,38
387,478130_4419430_3_127,9
388,478130_4419430_3_128,24
389,478130_4419430_3_129,80
390,478130_4419430_3_130,76
391,478130_4419430_3_131,15
392,478130_4419430_3_132,24
393,478130_4419430_3_133,21
394,478130_4419430_3_134,38
395,478130_4419430_3_135,62
396,478130_4419430_3_136,13
397,478130_4419430_3_137,39
398,478130_4419430_3_138,40
399,478130_4419430_3_139,51
400,478130_4419430_3_140,55
401,478130_4419430_3_141,13
402,478130_4419430_3_142,31
403,478130_4419430_3_143,89
404,478130_4419430_3_144,89
405,478130_4419430_3_145,79
406,478130_4419430_3_146,13
407,478130_4419430_3_147,3
408,478130_4419430_3_148,21
409,478130_4419430_3_149,62
410,478130_4419430_3_150,13
411,478130_4419430_3_151,25
412,478130_4419430_3_152,89
413,478130_4419430_3_153,55
414,478130_4419430_3_154,20
415,478130_4419430_3_155,13
416,478130_4419430_3_156,37
417,478130_4419430_3_157,15
418,478130_4419430_3_158,21
419,478130_4419430_3_159,40
420,478130_4419430_3_160,24
421,478130_4419430_3_161,14
422,478130_4419430_3_162,27
423,478130_4419430_3_163,62
424,478130_4419430_3_164,24
425,478130_4419430_3_165,15
426,478130_4419430_3_166,20
427,478130_4419430_3_167,2
428,478130_4419430_3_168,90
429,478130_4419430_3_169,13
430,478130_4419430_3_170,28
431,478130_4419430_3_171,3
432,478130_4419430_3_172,16
433,478130_4419430_3_173,13
434,478130_4419430_3_174,41
435,478130_4419430_3_175,15
436,478130_4419430_3_176,21
437,478130_4419430_3_177,11
438,478130_4419430_3_178,57
439,478130_4419430_3_179,11
440,478130_4419430_3_180,13
441,478130_4419430_3_181,20
442,478130_4419430_3_182,30
443,478130_4419430_3_183,81
444,478130_4419430_3_184,80
445,478130_4419430_3_185,40
446,478130_4419430_3_186,18
447,478130_4419430_3_187,25
448,478130_4419430_3_188,13
449,478130_4419430_3_189,13
450,478130_4419430_3_190,41
451,478130_4419430_3_191,24
452,478130_4419430_3_192,13
453,478130_4419430_3_193,40
454,478130_4419430_3_194,13
455,478130_4419430_3_195,24
456,478130_4419430_3_196,24
457,478130_4419430_3_197,2
458,478130_4419430_3_198,42
459,478130_4419430_3_199,42
460,478130_4419430_3_200,59
461,478130_4419430_3_201,21
462,478130_4419430_3_202,3
463,478130_4419430_3_203,12
464,478130_4419430_3_204,9
465,478130_4419430_3_205,3
466,478130_4419430_3_206,25
467,478130_4419430_3_207,21
468,478130_4419430_3_208,15
469,478130_4419430_3_209,3
470,478130_4419430_3_210,27
471,478130_4419430_3_211,3
472,478130_4419430_3_212,14
473,478130_4419430_3_213,61
474,478130_4419430_3_214,48
475,478130_4419430_3_215,17
476,478130_4419430_3_216,53
477,478130_4419430_3_217,61
478,478130_4419430_3_218,48
479,478130_4419430_3_219,65
480,478130_4419430_3_220,76
481,478130_4419430_3_221,44
482,478130_4419430_3_222,72
483,478130_4419430_3_223,38
484,478130_4419430_3_224,11
485,478130_4419430_3_225,37
486,478130_4419430_3_226,41
487,478130_4419430_3_227,27
488,478130_4419430_3_228,38
489,478130_4419430_3_229,13
490,478130_4419430_3_230,13
491,478130_4419430_3_231,13
492,478130_4419430_3_232,49
493,478130_4419430_3_233,65
494,478130_4419430_3_234,74
495,478130_4419430_3_235,41
496,478130_4419430_3_236,72
497,478130_4419430_3_237,65
498,478130_4419430_3_238,20
499,478130_4419430_3_239,40
500,478130_4419430_3_240,89
501,478130_4419430_3_241,62
502,478130_4419430_3_242,38
503,478130_4419430_3_243,53
504,478130_4419430_3_244,65
505,478130_4419430_3_245,62
506,478130_4419430_3_246,20
507,478130_4419430_3_247,89
508,478130_4419430_3_248,64
509,478130_4419430_3_249,46
510,478130_4419430_3_250,61
511,478130_4419430_3_251,38
512,478130_4419430_3_252,40
513,478130_4419430_3_253,89
514,478130_4419430_3_254,62
515,478130_4419430_3_255,41
516,478130_4419430_3_256,8
517,478130_4419430_3_258,20
518,478130_4419430_3_259,41
519,478130_4419430_3_260,14
520,478130_4419430_3_261,41
521,478130_4419430_3_262,20
522,478130_4419430_3_263,62
523,478130_4419430_3_264,14
524,478130_4419430_3_265,3
525,478130_4419430_3_266,65
526,478130_4419430_3_267,20
527,478130_4419430_3_268,2
528,478130_4419430_3_269,3
529,478130_4419430_3_270,78
530,478130_4419430_3_271,57
531,478130_4419430_3_272,8
532,478130_4419430_3_273,8
533,478130_4419430_3_274,36
534,478130_4419430_3_275,40
535,478130_4419430_3_276,8
536,478130_4419430_3_277,14
537,478130_4419430_3_278,24
538,478130_4419430_3_279,20
539,478130_4419430_3_280,70
540,478130_4419430_3_281,22
541,478130_4419430_3_282,13
542,478130_4419430_3_283,14
543,478130_4419430_3_284,34
544,478130_4419430_3_285,30
545,478130_4419430_3_286,7
546,478130_4419430_3_287,8
547,478130_4419430_3_288,2
548,478130_4419430_3_289,20
549,478130_4419430_3_290,8
550,478130_4419430_3_291,59
551,478130_4419430_3_292,1
552,478130_4419430_3_293,37
553,478130_4419430_3_294,20
554,478130_4419430_3_295,13
555,478130_4419430_3_296,20
556,478130_4419430_3_297,41
557,478130_4419430_3_298,84
558,478130_4419430_3_299,62
559,478130_4419430_3_300,20
560,478130_4419430_3_301,20
561,478130_4419430_3_302,53
562,478130_4419430_3_303,24
563,478130_4419430_3_304,24
564,478130_4419430_3_305,41
565,478130_4419430_3_306,40
566,478130_4419430_3_307,40
567,478130_4419430_3_308,16
568,478130_4419430_3_309,11
569,478130_4419430_3_310,13
570,478130_4419430_3_311,13
571,478130_4419430_3_312,65
572,478130_4419430_3_313,65
573,478130_4419430_3_314,80
574,478130_4419430_3_315,62
575,478130_4419430_3_316,2
576,478130_4419430_3_317,41
577,478130_4419430_3_318,62
578,478130_4419430_3_319,89
579,478130_4419430_3_320,16
580,478130_4419430_3_321,23
581,478130_4419430_3_322,1
582,478130_4419430_3_323,28
583,478130_4419430_3_324,41
584,478130_4419430_3_325,24
585,478130_4419430_3_326,41
586,478130_4419430_3_327,13
587,478130_4419430_3_328,2
588,478130_4419430_3_329,80
589,478130_4419430_3_330,66
590,478130_4419430_3_331,71
591,478130_4419430_3_332,80
592,478130_4419430_3_333,80
593,478130_4419430_3_334,80
594,478130_4419430_3_335,87
595,478130_4419430_3_336,52
596,478130_4419430_3_337,41
597,478130_4419430_3_338,19
598,478130_4419430_3_339,40
599,478130_4419430_3_340,14
600,478130_4419430_3_341,40
601,478130_4419430_3_342,15
602,478130_4419430_3_343,85
603,478130_4419430_3_344,85
604,478130_4419430_3_345,14
605,478130_4419430_3_346,60
606,478130_4419430_3_347,80
607,478130_4419430_3_348,80
608,478130_4419430_3_349,65
609,478130_4419430_3_350,47
610,478130_4419430_3_351,41
611,478130_4419430_3_352,14
612,478130_4419430_3_353,79
613,478130_4419430_3_354,62
614,478130_4419430_3_355,41
615,478130_4419430_3_356,61
616,478130_4419430_3_357,14
617,478130_4419430_3_358,84
618,478130_4419430_3_359,84
619,478130_4419430_3_360,19
620,478130_4419430_3_361,88
621,478130_4419430_3_362,19
622,478130_4419430_3_363,41
623,478130_4419430_3_364,2
624,478130_4419430_3_365,13
625,478130_4419430_3_366,13
626,478130_4419430_3_367,79
627,478130_4419430_3_368,89
628,478130_4419430_3_369,14
629,478130_4419430_3_370,61
630,478130_4419430_3_371,79
631,478130_4419430_3_372,63
632,478130_4419430_3_373,78
633,478130_4419430_3_374,79
634,478130_4419430_3_375,79
635,478130_4419430_3_376,14
636,478130_4419430_3_377,65
637,478130_4419430_3_378,89
638,478130_4419430_3_379,20
639,478130_4419430_3_380,12
640,478130_4419430_3_381,40
641,478130_4419430_3_382,16
642,478130_4419430_3_383,65
643,478130_4419430_3_384,15
644,478130_4419430_3_385,19
