,Class,EncodedLabel
0,black coarse,0
1,black fine,1
2,black medium,2
3,brown coarse-1,3
4,brown coarse-2,4
5,brown dark coarse,5
6,brown dark coarse-1,6
7,brown dark coarse-2,7
8,brown dark coarse-3,8
9,brown dark fine,9
10,brown dark medium,10
11,brown dark medium-1,11
12,brown dark medium-2,12
13,brown dark medium-3,13
14,brown fine,14
15,brown light coarse-1,15
16,brown light coarse-2,16
17,brown light fine,17
18,brown light medium-1,18
19,brown light medium-2,19
20,brown light medium-3,20
21,brown medium,21
22,brown medium-1,22
23,brown medium-2,23
24,brown medium-3,24
25,creamy fine,25
26,creamy medium,26
27,glass,27
28,grey coarse,28
29,grey coarse-1,29
30,grey coarse-2,30
31,grey coarse-3,31
32,grey dark coarse,32
33,grey dark coarse-1,33
34,grey dark coarse-2,34
35,grey dark fine,35
36,grey dark medium,36
37,grey dark medium-1,37
38,grey fine,38
39,grey medium,39
40,grey medium-2,40
41,iron,41
42,orange coarse,42
43,orange fine,43
44,orange light coarse,44
45,orange light medium,45
46,orange medium,46
47,orange medium-2,47
48,reddish brown coarse,48
49,reddish brown coarse-1,49
50,reddish brown coarse-2,50
51,reddish brown dark coarse,51
52,reddish brown dark coarse-1,52
53,reddish brown dark fine,53
54,reddish brown dark medium,54
55,reddish brown dark medium-1,55
56,reddish brown dark medium-2,56
57,reddish brown fine,57
58,reddish brown light medium-1,58
59,reddish brown medium,59
60,reddish brown medium-1,60
61,reddish brown medium-2,61
62,reddish brown medium-3,62
63,reddish coarse,63
64,reddish coarse-1,64
65,reddish dark brown medium,65
66,reddish dark brown medium-1,66
67,reddish dark brown medium-2,67
68,reddish dark fine,68
69,reddish dark medium-2,69
70,reddish fine,70
71,reddish grey coarse,71
72,reddish grey medium,72
73,reddish light medium,73
74,reddish light medium-2,74
75,reddish medium,75
76,reddish medium-1,76
77,reddish medium-2,77
78,reddish yellow coarse,78
79,reddish yellow medium,79
80,slipped grey medium,80
81,yellow brown coarse-1,81
82,yellow brown coarse-2,82
83,yellowish brown dark coarse,83
84,yellowish brown medium,84
85,yellowish brown medium-1,85
