,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,file_name,utm_hemisphere,utm_zone,area_utm_easting_meters,area_utm_northing_meters,context_number,find_number,shape_description,inclusion_size,inclusion_colors,inclusion_types,porosity,exterior_surface,interior_surface,exterior_decoration,wall_thickness,manufacture,burning,fabric_group_name,encrustation,deterioration,fabric_group_examplar,volume_millimeter_cubed,weight_grams,xrf_group,type_group,xmin
0,0,0,0,0,0,0,478130_4419430_1_1,N,38,478130,4419430,1,1,outward thickened rim,medium,black and white,sand,low,smoothed,smoothed,,medium,wheelmade,,brown light medium-2,,,0,,,,,15832
1,1,1,1,1,1,1,478130_4419430_1_2,N,38,478130,4419430,1,2,outward thickened rim,medium,black and red,sand,low,smoothed,smoothed,,medium,wheelmade,,brown light medium-1,small,,1,,,,,84073
2,2,2,2,2,2,2,478130_4419430_1_3,N,38,478130,4419430,1,3,pithos rim,medium,black,sand,low,smoothed,,impressed,thick,built,,brown light medium-2,large interior,,0,,,,,83307
3,3,3,3,3,3,3,478130_4419430_1_4,N,38,478130,4419430,1,4,base,small,red and white,sand,low,smoothed,,,thin,wheelmade,,reddish light medium,partial,,0,,,,,84061
4,4,4,4,4,4,4,478130_4419430_1_5,N,38,478130,4419430,1,5,outward thickened rim,medium,black,sand,low,smoothed,smoothed,,medium,wheelmade,exterior,brown fine,small,,0,,,,,86975
5,5,5,5,5,5,5,478130_4419430_1_6,N,38,478130,4419430,1,6,outward thickened rim,medium,black and white,sand,low,smoothed,smoothed,,medium,wheelmade,interior,brown medium-1,,,0,,,,,84057
6,6,6,6,6,6,6,478130_4419430_1_7,N,38,478130,4419430,1,7,spout,medium,white,sand,low,smoothed,smoothed,,medium,handmade,interior,brown medium-1,,,0,,,,,84055
7,7,7,7,7,7,7,478130_4419430_1_8,N,38,478130,4419430,1,8,,coarse,black red and white,sand,low,rough,smoothed,,medium,wheelmade,interior,brown medium-1,,partial,0,,,,,84059
8,8,8,8,8,8,8,478130_4419430_1_9,N,38,478130,4419430,1,9,carination,medium,white,sand,low,smoothed,rough,,medium,wheelmade,,grey dark fine,,,0,,,,,83282
9,9,9,9,9,9,9,478130_4419430_1_10,N,38,478130,4419430,1,10,,medium,orange and red,sand and organic,medium,smoothed,striations,,medium,wheelmade,,reddish light medium,,,0,,,,,15543
10,10,10,10,10,10,10,478130_4419430_1_11,N,38,478130,4419430,1,11,pithos body,coarse,orange and white,sand,medium,smoothed and rough,,,25mm,handmade,,reddish grey coarse,large interior,,1,64584.2734,119.6,high fe,chunky pithos,17244
11,11,11,11,11,11,11,478130_4419430_1_12,N,38,478130,4419430,1,12,,medium,black and white,sand and organic,high,rough,rough,,thick,handmade,,brown light medium-2,large,,0,,,,,15834
12,12,12,12,12,12,12,478130_4419430_1_13,N,38,478130,4419430,1,13,,small,black and white,sand,medium,smoothed,,,medium,wheelmade,,brown light medium-2,,,0,,,,,15836
13,13,13,13,13,13,13,478130_4419430_1_14,N,38,478130,4419430,1,14,,coarse,black and red,sand,medium,smoothed,,,medium,wheelmade,,reddish brown medium,,,0,,,,,84063
